ts_ns,bid,ask,bid_sz,ask_sz,mid,spread,microprice
1756091459850000000,113269.58,113528.39,0.04,1e-05,113398.985,258.81,113528.325314
1756091459900000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091459950000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460000000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460050000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460100000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460150000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460200000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460250000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460300000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460350000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460400000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460450000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460500000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460550000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460600000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460650000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460700000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460750000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460800000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460850000000,113269.59,113528.39,0.12002,1e-05,113398.99,258.8,113528.368439
1756091460900000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091460950000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461000000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461050000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461100000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461150000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461200000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461250000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461300000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461350000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461400000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461450000000,113269.59,113528.39,0.1001,1e-05,113398.99,258.8,113528.364148
1756091461500000000,113269.61,113528.39,0.1224,1e-05,113399,258.78,113528.36886
